0,1,2
做 啊,affirm,O O
直 接 拍,affirm,O O O
知 道 了,affirm,0 0 0
知 道 的,affirm,0 0 0
有 的,affirm,O O
有,affirm,0
以 前 可 以,affirm,O O O O
已 经 付 好 啦,affirm,O O O O O
五 月 也 是,affirm,B-month I-month O O
我 最 低 就 可 以,affirm,O O O O O O
我 知 道,affirm,0 0 0
我 有,affirm,O O
搜 好 了,affirm,O O O
收 费 可 以,affirm,0 0 0 0
是 这 样 的,affirm,0 0 0 0
是 的,affirm,0 0
是,affirm,O
确 定 是 这 个 月 哦,affirm,O O O B-month I-month I-month O
哦 哦 知 道 了,affirm,0 0 0 0 0
哦 哦 哦,affirm,O O O
哦 哦 好 的,affirm,O O O O
哦 哦,affirm,0 0
哦 好 的,affirm,O O O
哦 对,affirm,O O
哦,affirm,O
那 没 事,affirm,O O O
那 就 这 样,affirm,O O O O
那 就 办 吧,affirm,0 0 0 0
那 好,affirm,0 0
明 白 了 的,affirm,O O O O
明 白 了,affirm,O O O
明 白,affirm,O O
没 问 题,affirm,0 0 0
没 错,affirm,0 0
俩 账 户 都 有,affirm,O O O O O
理 解,affirm,O O
了 解 了,affirm,O O O
了 解,affirm,O O
可 以 了,affirm,O O O
可 以 的,affirm,O O O
可 以,affirm,0 0
看 到 了,affirm,O O O
居 住 证 有 的,affirm,O O O O O
就 这 样,affirm,0 0 0
就 这 个,affirm,0 0 0
就 是,affirm,O O
就 补 交 9 月 份,affirm,O O O B-month I-month O
好 哦,affirm,O O
好 那,affirm,O O
好 了 哦,affirm,O O O
好 了,affirm,0 0
好 滴,affirm,O O
好 的 亲,affirm,O O O
好 的 好 的,affirm,O O O O
好 的 [emoji],affirm,0 0 B-emoji
好 的,affirm,0 0
好 哒,affirm,O O
好 吧,affirm,0 0
好,affirm,0
行 吧 尽 量 快 点 哦,affirm,O O O O O O O
行,affirm,0
哈 哈 哈 哈 好 的,affirm,O O O O O O
嗯 呢,affirm,0 0
嗯 肯 定 的,affirm,O O O O
嗯 好 稍 等,affirm,O O O O
嗯 好,affirm,O O
嗯 咯,affirm,O O
嗯 嗯 是 的,affirm,0 0 0 0
嗯 嗯 好 的,affirm,O O O O
嗯 嗯,affirm,0 0
嗯 啊,affirm,O O
嗯,affirm,0
恩 呢,affirm,0 0
恩 好 的,affirm,O O O
恩,affirm,O
额 好,affirm,0 0
额,affirm,O
对 之 前 一 直 在 苏 州,affirm,O O O O O O B-city I-city
对 了,affirm,O O
对 的 上 海 的,affirm,O O B-city I-city O
对 的 呢,affirm,0 0 0
对 的,affirm,0 0
对 啊,affirm,O O
对,affirm,0
都 可 以,affirm,O O O
嗷 嗷 懂 了,affirm,0 0 0 0
嗷 嗷,affirm,0 0
OK 了 都,affirm,O O O
ok 不 影 响 就 好,affirm,O O O O O O
ok,affirm,O
5 月 有,affirm,B-month I-month O
3290 这 个 貌 似 是,affirm,B-fee O O O O O
[表情] 好,affirm,B-emoji 0
要 补 缴 社 保,bujiao,O O O O O
需 要 补 缴 社 保,bujiao,O O O O O O
我 要 补 缴 社 保,bujiao,O O O O O O
我 补 三 月,bujiao,O O B-month I-month
社 保 补 缴,bujiao,O O O O
补 三 月,bujiao,O B-month I-month
补 缴 6 月 的,bujiao,O O B-month I-month O
五 险 可 以 补 交 么,bujiao_detail,0 O O O O O O
我 可 以 补 缴 社 保 吗,bujiao_detail,O O O O O O O O
上 海 社 保 能 补 缴 吗,bujiao_detail,B-city I-city O O O O O O
上 海 社 保 可 以 补 缴 吗,bujiao_detail,B-city I-city O O O O O O O
上 海 的 社 保 可 以 补 交 吗,bujiao_detail,B-city I-city O O O O O O O O
请 问 上 海 社 保 能 补 缴 吗,bujiao_detail,O O B-city I-city O O O O O O
你 们 可 以 补 交 几 个 月 呢,bujiao_detail,O O O O O O O O O O
你 好 社 保 你 这 能 补 交 吗,bujiao_detail,O O O O O O O O O O
