Text,Intent,,
能 提 取 公 积 金 吗,unsupported_request,complicated,199
公 积 金 提 取 能 做 吗,unsupported_request,no_intent,76
综 合 保 险,unknown,purchase,99
自 己 交,unknown,affirm,93
重 拍 了,unknown,unknown,71
中 文 的,unknown,chitchat,63
只 是 断 了,unknown,inform_paid,35
这 样,unknown,query_pay_process,23
这 个 缴 纳,unknown,ask_can_topup,25
这 个,unknown,doublecheck,21
在,unknown,greet,23
有 合 同 没,unknown,ask_shebao_status,23
已 经 减 员 了,unknown,ask_amt_month_fee_total,21
要 下 周,unknown,thankyou,19
续 交,unknown,check_can_pay_current_month,15
姓 名,unknown,query_req_resources,22
下 个 月 一 号,unknown,inform_payment_history,22
下,unknown,deny,14
喜 爱,unknown,purchase_wxyj,11
吴 江,unknown,ask_verify,14
我 一 次 缴 了,unknown,check_is_possible,10
我 说 的 如 果,unknown,get_back_later,11
我 买 了 服 务,unknown,explore_option,20
我 和 他 们 说 一 下,unknown,query_pay_deadline,8
我 给 他 钱,unknown,query_phone,7
我 的 意 思 是,unknown,how_to_pai,8
我 补 三,unknown,query_how_check_shebao_status,12
我 补,unknown,query_when_check_shebao_status,6
我,unknown,request_link,6
维 护 了,unknown,apology,6
微 信 里 填 写 的,unknown,inform_info_filled,9
往 前,unknown,affirm#thankyou,5
王 贞,unknown,ask_amt_service_fee,4
外 地,unknown,clarify,5
是 选 择 的,unknown,ask_turnaround_time,6
上 家 单 位 说 退 了,unknown,query_product_explain,4
上 海 本 地 户 籍,unknown,question_why,3
三 个 月,unknown,report_issue,3
入 职,unknown,ask_can_topup_gjj,6
人 嗯,unknown,inform_early_paid,3
拍 车 牌,unknown,missing_info,3
怕 漏 交,unknown,query_mini_program,5
那 这 样,unknown,query_pregnant,3
明 天,unknown,ask_for_refund,6
没 有 人 事,unknown,query_weixin,4
么 多,unknown,question_reliability,4
吗,unknown,query_canzhangjin,1
麻 烦 提 供 下,unknown,query_have_service_fee,3
麻 烦 了,unknown,query_payment_schedule,1
李 亚 霏,unknown,query_wxyj_included,1
可 以 补 叫 我,unknown,request_future_notify,5
就 是 说,unknown,withdraw_gjj,0
缴 纳 吗,unknown,query_product_price,0
交 齐 全 呢,unknown,query_housing,14
交,unknown,pay_shui,6
几 号 发 的,unknown,,
或 者,unknown,,
后 来 断 了,unknown,,
和,unknown,,
还 是 下 月,unknown,,
房,unknown,,
断 了,unknown,,
读 书 需 要,unknown,,
才 找 淘 宝,unknown,,
不 要 出 纰 漏,unknown,,
本 人,unknown,,
本 科,unknown,,
报 税,unknown,,
3290 这 个 貌 似 是,unknown,,
103 分,unknown,,
[表情],unknown,,
谢 谢 亲,thankyou,,
谢 谢 您,thankyou,,
