0,1
在没,greet
在么,greet
在嘛,greet
在吗,greet
有人么,greet
有人吗,greet
有人不,greet
下午好,greet
喂,greet
人呢,greet
人嗯,greet
亲在吗,greet
亲,greet
您好亲,greet
您好,greet
你好在吗,greet
你好我想问一下,greet
你好亲,greet
你好,greet
美女,greet
zaima,greet
yourenma,greet
hi,greet
hello,greet
nihao,greet
真麻烦你了,apology
所以打扰了,apology
麻烦您了,apology
麻烦你了,apology
不好意思哦,apology
不好意思,apology
真是搞笑,complain
这不是理由,complain
你们很不诚信,complain
你了解的有吗,complain
没看到信息啊,complain
嗯蛮贵,complain
tks,thankyou
感谢,thankyou
好吧谢谢啦,thankyou
好的谢谢,thankyou
好的谢谢啦,thankyou
好的谢谢你,thankyou
好的谢谢你哈,thankyou
好的谢谢你啦,thankyou
好谢谢,thankyou
好谢谢谢谢,thankyou
合作愉快,thankyou
哦哦谢谢,thankyou
谢了,thankyou
谢谢,thankyou
谢谢啊,thankyou
谢谢你了,thankyou
谢谢您,thankyou
谢谢亲,thankyou
不懂,confused
不是太了解,confused
不太懂,confused
还是怎么回事啊,confused
哪里啊,confused
请问这话啥意思,confused
啥意思,confused
啥意思啊,confused
什么意思,confused
是什么意思呢,confused
我不太懂,confused
咋回事,confused
这什么意思,confused
怎么回事啊,confused
怎么选呢,confused
这个怎么选,confused
这里选什么,confused
帮忙看下哈,doublecheck
帮我看一下,doublecheck
帮我确认一下,doublecheck
不能弄一下吗,doublecheck
都是杭州的吧,doublecheck
对吧,doublecheck
对吗,doublecheck
行吧,doublecheck
好了你看看,doublecheck
看到吗,doublecheck
看得到么,doublecheck
可以吧,doublecheck
可以吗,doublecheck
可以么,doublecheck
可以转吗,doublecheck
没事吧,doublecheck
那我们需要把钱转到你们帐户是吗,doublecheck
你看看,doublecheck
你们看看,doublecheck
你们提供吗,doublecheck
你们再确认一下,doublecheck
你那里能看到吗,doublecheck
你这边看一下,doublecheck
您看下,doublecheck
您看一下,doublecheck
您是说我的,doublecheck
拍下就可以了么,doublecheck
确定是这个月哦,doublecheck
如果可以,doublecheck
上个月还是两个,doublecheck
社保还是按上月一样拍就可以吧,doublecheck
是吧,doublecheck
是不是不行啊,doublecheck
是不是就可以了,doublecheck
是社保和公积金要各付40服务费嘛,doublecheck
所以我先拍吗,doublecheck
这个吗,doublecheck
这样不行吗,doublecheck
这样可以了吗,doublecheck
直接拍就行了,doublecheck
直接拍下吗,doublecheck
ok好了我联系你,get_back_later
付好告诉你哈,get_back_later
好的我去问问,get_back_later
好我先确认下,get_back_later
尽快回复你,get_back_later
那我明天操作吧,get_back_later
我考虑一下,get_back_later
我明天上午办理,get_back_later
我明天早上填吧,get_back_later
我去问问我有个朋友要不要补缴,get_back_later
我先了解一下,get_back_later
我再看看,get_back_later
我再试试,get_back_later
真的有效吗,question_reliability
你们是正规的吗,question_reliability
这种代缴没有什么问题吧,question_reliability
你们这靠谱吗,question_reliability
你们这个靠谱吧我同事有两个也想办一个月的,question_reliability
怎么办,ask_how_now
我怎么办呢,ask_how_now
我上面要怎么办,ask_how_now
那什么办啊,ask_how_now
163是什么,question_why
19377那个直接付款吗,question_why
302是啥,question_why
40为啥三个,question_why
你的意思还是要社保和公积金都在你这里一起交是吧,question_why
验证码在哪,question_why
什么是个税记录,question_why
为啥,question_why
为啥是今天,question_why
为什么,question_why
验证码是什么,question_why
[表情]付完了一个,inform_done
7月份社保公积金已拍,inform_done
都支付过了,inform_done
付好了,inform_done
付好钱了,inform_done
付了,inform_done
付完了,inform_done
公积金收到了,inform_done
会不会突然停交了呢,inform_done
交了,inform_done
缴吧缴吧我拍了,inform_done
拍好了,inform_done
拍了,inform_done
拍下了,inform_done
钱付过了,inform_done
社保交了,inform_done
四十我拍了,inform_done
提交成功,inform_done
提交成功了,inform_done
提交好了,inform_done
提交了,inform_done
填好,inform_done
填好了谢谢你,inform_done
填完了,inform_done
我按照你发的拍,inform_done
我把钱付了,inform_done
我付款了,inform_done
我付完款了,inform_done
我交五险一金,inform_done
我拍好了,inform_done
我拍了,inform_done
我提交好了,inform_done
我提交了,inform_done
我提交完毕,inform_done
我下单了,inform_done
我已经付了,inform_done
信息提交了,inform_done
信息填好了,inform_done
信息已经填完了,inform_done
已付,inform_done
已付费,inform_done
已付款,inform_done
已经付款了,inform_done
已经购买请帮忙缴费,inform_done
已经好了,inform_done
已经全部付了,inform_done
已经支付,inform_done
已拍,inform_done
已填写好,inform_done
这个月社保公积金以及服务费用已经缴纳,inform_done
支付好了,inform_done
之前在市区交的,inform_payment_history
之前有账户,inform_payment_history
之前我补一月,inform_payment_history
之前缴过的,inform_payment_history
之前交综合保险,inform_payment_history
之前交的,inform_payment_history
之前公司有交的,inform_payment_history
在嵊州办过,inform_payment_history
以前缴过,inform_payment_history
一直在杭州的,inform_payment_history
一直没交过,inform_payment_history
我在上海有社保,inform_payment_history
我上次补几月,inform_payment_history
我没有开过户的,inform_payment_history
市区交了几个月,inform_payment_history
三月没交,inform_payment_history
交过啊,inform_payment_history
交过,inform_payment_history
公司给交过了,inform_payment_history
不是首次参保,inform_payment_history
不是首次,inform_payment_history
5月的公司已经给我交了,inform_payment_history
[表情]好,affirm
15月有,affirm
3290这个貌似是,affirm
5月有,affirm
ok,affirm
ok不影响就好,affirm
OK了都,affirm
啊,affirm
嗷嗷,affirm
嗷嗷懂了,affirm
都可以,affirm
对,affirm
对啊,affirm
对的,affirm
对的呢,affirm
对的上海的,affirm
对了,affirm
对之前一直在苏州,affirm
额,affirm
额好,affirm
恩,affirm
恩好的,affirm
恩呢,affirm
够的,affirm
哈哈哈哈好的,affirm
行,affirm
行吧尽量快点哦,affirm
好,affirm
好吧,affirm
好哒,affirm
好的,affirm
